latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-24.058,-61.111,304,1.4,1.2,2020-09-03,0230,Terra,MODIS,58,6.0NRT,282.7,14.9,N
-24.966,-64.031,304.3,2.4,1.5,2020-09-03,0230,Terra,MODIS,59,6.0NRT,278.6,35.5,N
-24.975,-64.025,320.8,2.4,1.5,2020-09-03,0230,Terra,MODIS,100,6.0NRT,279.6,80.9,N
-24.768,-60.256,323.7,1.3,1.1,2020-09-03,0230,Terra,MODIS,100,6.0NRT,283.6,36.4,N
-24.779,-60.254,317.2,1.3,1.1,2020-09-03,0230,Terra,MODIS,95,6.0NRT,283,26.7,N
-25.631,-61.864,304.6,1.7,1.3,2020-09-03,0230,Terra,MODIS,61,6.0NRT,278.1,22,N
-23.811,-64.296,396.1,1,1,2020-09-03,0540,Aqua,MODIS,100,6.0NRT,292.8,240.9,N
-21.9,-63.254,313.1,1.1,1,2020-09-03,0540,Aqua,MODIS,86,6.0NRT,282.1,16.8,N
-21.909,-63.256,331,1.1,1,2020-09-03,0540,Aqua,MODIS,100,6.0NRT,283,36.7,N
-23.81,-64.306,366.2,1,1,2020-09-03,0540,Aqua,MODIS,100,6.0NRT,283.4,110.6,N
-24.971,-64.009,302.3,1,1,2020-09-03,0540,Aqua,MODIS,48,6.0NRT,277.7,10.2,N
-24.97,-64.02,309.9,1,1,2020-09-03,0540,Aqua,MODIS,79,6.0NRT,278.1,15.3,N
-24.773,-60.251,303,1.6,1.3,2020-09-03,0540,Aqua,MODIS,53,6.0NRT,281,16.8,N
-26.771,-54.316,303.3,1.7,1.3,2020-09-03,1325,Terra,MODIS,23,6.0NRT,287.8,9.3,D
-26.481,-58.954,302.5,3.5,1.8,2020-09-03,1325,Terra,MODIS,45,6.0NRT,288.9,20.5,D
-26.474,-58.945,302.6,3.5,1.8,2020-09-03,1325,Terra,MODIS,44,6.0NRT,288.5,17.8,D
-28.561,-66.768,327.6,2.2,1.4,2020-09-03,1505,Terra,MODIS,84,6.0NRT,299.1,60,D
-27.479,-65.618,319.5,2.5,1.5,2020-09-03,1505,Terra,MODIS,77,6.0NRT,301.3,34.4,D
-27.381,-65.329,311.3,2.7,1.6,2020-09-03,1505,Terra,MODIS,54,6.0NRT,298.5,18.3,D
-27.079,-65.42,324.8,2.6,1.5,2020-09-03,1505,Terra,MODIS,82,6.0NRT,299.2,64.2,D
-27.074,-65.415,321.1,2.6,1.5,2020-09-03,1505,Terra,MODIS,78,6.0NRT,298.9,52.2,D
-27.072,-65.441,315.5,2.6,1.5,2020-09-03,1505,Terra,MODIS,68,6.0NRT,298.8,33,D
-26.528,-64.793,308.7,2.8,1.6,2020-09-03,1505,Terra,MODIS,43,6.0NRT,297.2,19.6,D
-25.673,-64.106,311.7,3.1,1.7,2020-09-03,1505,Terra,MODIS,48,6.0NRT,300.3,23.2,D
-24.35,-64.814,311,2.7,1.6,2020-09-03,1505,Terra,MODIS,30,6.0NRT,298.1,22.7,D
-23.809,-64.304,309.7,2.8,1.6,2020-09-03,1505,Terra,MODIS,53,6.0NRT,295.4,29.9,D
-22.893,-61.994,310.6,4.1,1.9,2020-09-03,1505,Terra,MODIS,35,6.0NRT,298,41.6,D
-22.876,-61.993,313.3,4.1,1.9,2020-09-03,1505,Terra,MODIS,66,6.0NRT,297.1,59,D
-22.89,-61.988,310.6,4.1,1.9,2020-09-03,1505,Terra,MODIS,34,6.0NRT,297.4,41,D
-22.873,-61.987,310.9,4.1,1.9,2020-09-03,1505,Terra,MODIS,57,6.0NRT,296.2,45,D
-34.541,-67.54,315.5,2.3,1.5,2020-09-03,1505,Terra,MODIS,74,6.0NRT,301,24.2,D
-34.962,-67.744,312.5,2.2,1.5,2020-09-03,1505,Terra,MODIS,68,6.0NRT,298,21.5,D
-32.096,-68.063,314.3,2,1.4,2020-09-03,1505,Terra,MODIS,71,6.0NRT,299.2,14.6,D
-32.098,-68.069,312.6,2,1.4,2020-09-03,1505,Terra,MODIS,69,6.0NRT,299.3,11,D
-31.429,-68.704,337.6,1.8,1.3,2020-09-03,1505,Terra,MODIS,85,6.0NRT,299.1,79.3,D
-38.4,-68.681,324.4,2.1,1.4,2020-09-03,1510,Terra,MODIS,83,6.0NRT,291.4,60.9,D
-26.638,-59.831,317.8,1,1,2020-09-03,1745,Aqua,MODIS,59,6.0NRT,304.6,7.3,D
-26.796,-60.998,331.5,1.1,1,2020-09-03,1745,Aqua,MODIS,84,6.0NRT,301.9,25,D
-27.333,-65.767,311.3,2,1.4,2020-09-03,1745,Aqua,MODIS,56,6.0NRT,300.4,19.7,D
-26.713,-60.582,320.2,1,1,2020-09-03,1745,Aqua,MODIS,71,6.0NRT,303.7,10.9,D
-27.274,-65.418,324.9,1.9,1.3,2020-09-03,1745,Aqua,MODIS,79,6.0NRT,304.8,31.5,D
-27.276,-65.437,321,1.9,1.3,2020-09-03,1745,Aqua,MODIS,75,6.0NRT,303.7,22.1,D
-26.475,-58.954,327.4,1,1,2020-09-03,1745,Aqua,MODIS,79,6.0NRT,299.5,19,D
-26.477,-58.964,325.6,1,1,2020-09-03,1745,Aqua,MODIS,77,6.0NRT,298.6,17.1,D
-27.271,-65.424,320.3,1.9,1.3,2020-09-03,1745,Aqua,MODIS,38,6.0NRT,304.9,17.3,D
-26.412,-58.702,318.5,1,1,2020-09-03,1745,Aqua,MODIS,60,6.0NRT,304.6,7.5,D
-26.426,-58.866,325.5,1,1,2020-09-03,1745,Aqua,MODIS,77,6.0NRT,300.2,15,D
-26.428,-58.876,320.9,1,1,2020-09-03,1745,Aqua,MODIS,71,6.0NRT,299.8,10,D
-27.226,-65.468,320.8,1.9,1.3,2020-09-03,1745,Aqua,MODIS,74,6.0NRT,303.3,21.1,D
-26.81,-61.883,318.5,1.1,1.1,2020-09-03,1745,Aqua,MODIS,69,6.0NRT,305,8.8,D
-27.214,-65.469,322.3,1.9,1.3,2020-09-03,1745,Aqua,MODIS,76,6.0NRT,304.6,25.7,D
-26.716,-61.226,316.6,1.1,1,2020-09-03,1745,Aqua,MODIS,28,6.0NRT,303.5,6.4,D
-26.707,-61.227,316.4,1.1,1,2020-09-03,1745,Aqua,MODIS,45,6.0NRT,303.8,5.8,D
-26.708,-61.238,318.5,1.1,1,2020-09-03,1745,Aqua,MODIS,61,6.0NRT,302.1,8,D
-27.168,-65.379,325,1.9,1.3,2020-09-03,1745,Aqua,MODIS,79,6.0NRT,303.9,33,D
-27.17,-65.398,319.7,1.9,1.3,2020-09-03,1745,Aqua,MODIS,73,6.0NRT,304.3,20.3,D
-27.161,-65.368,318.8,1.9,1.3,2020-09-03,1745,Aqua,MODIS,65,6.0NRT,304.6,15.5,D
-27.163,-65.386,320.1,1.9,1.3,2020-09-03,1745,Aqua,MODIS,73,6.0NRT,303.1,20.2,D
-27.165,-65.405,319.6,1.9,1.3,2020-09-03,1745,Aqua,MODIS,63,6.0NRT,304.5,19.6,D
-26.232,-58.186,317.4,1,1,2020-09-03,1745,Aqua,MODIS,0,6.0NRT,300.3,8.4,D
-27.114,-65.508,313.1,1.9,1.3,2020-09-03,1745,Aqua,MODIS,36,6.0NRT,300.3,12.3,D
-27.06,-65.211,319.7,1.8,1.3,2020-09-03,1745,Aqua,MODIS,72,6.0NRT,305.4,18.4,D
-27.053,-65.198,318.5,1.8,1.3,2020-09-03,1745,Aqua,MODIS,71,6.0NRT,305.2,16,D
-27.013,-65.166,326,1.8,1.3,2020-09-03,1745,Aqua,MODIS,80,6.0NRT,304.8,31.7,D
-26.977,-65.282,317.6,1.8,1.3,2020-09-03,1745,Aqua,MODIS,69,6.0NRT,303.7,15.1,D
-26.983,-65.288,319,1.8,1.3,2020-09-03,1745,Aqua,MODIS,69,6.0NRT,304.6,18.3,D
-26.204,-59.368,323.8,1,1,2020-09-03,1745,Aqua,MODIS,74,6.0NRT,302.8,11.6,D
-26.201,-60.051,332.3,1,1,2020-09-03,1745,Aqua,MODIS,83,6.0NRT,306.7,23.6,D
-26.803,-65.113,320.6,1.8,1.3,2020-09-03,1745,Aqua,MODIS,74,6.0NRT,305.3,20.4,D
-26.114,-60.156,327.2,1,1,2020-09-03,1745,Aqua,MODIS,78,6.0NRT,298.5,20,D
-26.266,-61.441,326.3,1.1,1,2020-09-03,1745,Aqua,MODIS,78,6.0NRT,302.6,20,D
-26.374,-62.304,336.7,1.2,1.1,2020-09-03,1745,Aqua,MODIS,88,6.0NRT,309.7,34.8,D
-26.376,-62.316,320.6,1.2,1.1,2020-09-03,1745,Aqua,MODIS,67,6.0NRT,307.1,9.3,D
-25.734,-57.777,326.4,1.1,1,2020-09-03,1745,Aqua,MODIS,68,6.0NRT,297.8,18.3,D
-26.271,-61.738,312.4,1.1,1.1,2020-09-03,1745,Aqua,MODIS,40,6.0NRT,297.4,7,D
-26.273,-61.75,329.9,1.1,1.1,2020-09-03,1745,Aqua,MODIS,82,6.0NRT,298.3,27.8,D
-26.06,-60.698,322.3,1,1,2020-09-03,1745,Aqua,MODIS,69,6.0NRT,306,11.4,D
-26.145,-61.473,327.3,1.1,1,2020-09-03,1745,Aqua,MODIS,72,6.0NRT,309.2,20.3,D
-26.134,-61.463,346.5,1.1,1,2020-09-03,1745,Aqua,MODIS,93,6.0NRT,305.3,50.6,D
-26.135,-61.474,349.1,1.1,1,2020-09-03,1745,Aqua,MODIS,95,6.0NRT,308,57.3,D
-26.18,-61.817,320.6,1.1,1.1,2020-09-03,1745,Aqua,MODIS,71,6.0NRT,309.4,13.1,D
-25.581,-57.731,313.6,1.1,1,2020-09-03,1745,Aqua,MODIS,45,6.0NRT,294,8.6,D
-25.614,-58.419,321,1,1,2020-09-03,1745,Aqua,MODIS,45,6.0NRT,302.2,9.6,D
-25.605,-58.421,341.3,1,1,2020-09-03,1745,Aqua,MODIS,79,6.0NRT,303,37.8,D
-25.607,-58.431,333.7,1,1,2020-09-03,1745,Aqua,MODIS,64,6.0NRT,301,24.5,D
-25.393,-57.647,317.8,1.1,1,2020-09-03,1745,Aqua,MODIS,60,6.0NRT,293.2,10.4,D
-25.508,-58.456,320.4,1,1,2020-09-03,1745,Aqua,MODIS,71,6.0NRT,296.8,13.8,D
-25.51,-58.467,353.4,1,1,2020-09-03,1745,Aqua,MODIS,97,6.0NRT,300.2,68.4,D
-25.501,-58.468,337,1,1,2020-09-03,1745,Aqua,MODIS,88,6.0NRT,300.9,34.3,D
-25.459,-58.733,330,1,1,2020-09-03,1745,Aqua,MODIS,82,6.0NRT,300.5,20,D
-26.204,-64.609,314.4,1.6,1.2,2020-09-03,1745,Aqua,MODIS,64,6.0NRT,301.6,12.9,D
-25.52,-59.468,321.5,1,1,2020-09-03,1745,Aqua,MODIS,71,6.0NRT,301,12.9,D
-25.511,-59.469,316.4,1,1,2020-09-03,1745,Aqua,MODIS,51,6.0NRT,300.6,7.8,D
-25.649,-60.51,313.4,1,1,2020-09-03,1745,Aqua,MODIS,57,6.0NRT,300,7.5,D
-25.65,-60.52,315.7,1,1,2020-09-03,1745,Aqua,MODIS,64,6.0NRT,299,9.3,D
-25.316,-58.463,325.3,1,1,2020-09-03,1745,Aqua,MODIS,75,6.0NRT,303.8,15.4,D
-25.621,-60.785,311.7,1,1,2020-09-03,1745,Aqua,MODIS,38,6.0NRT,299.9,6.2,N
-29.663,-61.646,308.9,1.2,1.1,2020-09-03,1745,Aqua,MODIS,63,6.0NRT,293.8,8.1,D
-38.92,-60.877,319.1,1.4,1.2,2020-09-03,1745,Aqua,MODIS,75,6.0NRT,291.1,25.5,D
-38.57,-61.451,319.7,1.5,1.2,2020-09-03,1745,Aqua,MODIS,80,6.0NRT,291.9,29,D
-38.572,-61.468,318.8,1.5,1.2,2020-09-03,1745,Aqua,MODIS,79,6.0NRT,291.4,27.8,D
-38.569,-61.458,323.9,1.5,1.2,2020-09-03,1745,Aqua,MODIS,83,6.0NRT,293.2,34.9,D
-37.502,-59.067,318.6,1.1,1.1,2020-09-03,1745,Aqua,MODIS,79,6.0NRT,289.5,19.2,D
-37.504,-59.079,334,1.1,1.1,2020-09-03,1745,Aqua,MODIS,89,6.0NRT,290.5,40.3,D
-36.923,-65.196,310.6,2.4,1.5,2020-09-03,1745,Aqua,MODIS,66,6.0NRT,295.3,24.7,D
-36.286,-59.749,329.7,1.2,1.1,2020-09-03,1745,Aqua,MODIS,86,6.0NRT,290.5,33.5,D
-36.283,-59.742,310.2,1.2,1.1,2020-09-03,1745,Aqua,MODIS,70,6.0NRT,289.3,11.5,D
-36.285,-59.755,320.3,1.2,1.1,2020-09-03,1745,Aqua,MODIS,80,6.0NRT,290.5,22.2,D
-36.205,-59.664,308.6,1.1,1.1,2020-09-03,1745,Aqua,MODIS,67,6.0NRT,289.6,9.3,D
-35.015,-67.556,314.2,3.2,1.7,2020-09-03,1745,Aqua,MODIS,68,6.0NRT,301.4,37.8,D
-35.02,-67.561,312.3,3.2,1.7,2020-09-03,1745,Aqua,MODIS,64,6.0NRT,301,27.2,D
-32.955,-68.695,326.6,3.7,1.8,2020-09-03,1745,Aqua,MODIS,82,6.0NRT,297.9,128.5,D
-32.26,-65.421,317,2.2,1.4,2020-09-03,1745,Aqua,MODIS,73,6.0NRT,297.8,33.1,D
-31.488,-68.713,312.8,3.6,1.8,2020-09-03,1745,Aqua,MODIS,49,6.0NRT,297.8,33.9,D
